,nombre_clave_municipio,latitud,longitud,nombre_municipio,id
90,navalagamella,40.4690591,-4.1227079,Navalagamella,28095
91,navalcarnero,40.2877169,-4.014299,Navalcarnero,28096
92,navarredonda-y-san-mames,41.00736645,-3.7315049706950285,Navarredonda y San Mamés,28097
93,navas-del-rey,40.3863666,-4.2508402,Navas del Rey,28099
94,nuevo-baztan,40.3659255,-3.2443102,Nuevo Baztán,28100
95,olmeda-de-las-fuentes,40.3695225,-3.2213199,Olmeda de las Fuentes,28101
96,orusco-de-tajuna,40.2853409,-3.2096521,Orusco de Tajuña,28102
97,paracuellos-de-jarama,40.5048527,-3.5317621,Paracuellos de Jarama,28104
98,parla,40.2373952,-3.7718902,Parla,28106
99,patones,40.8548194,-3.483954,Patones,28107
100,pedrezuela,40.7451088,-3.6030185,Pedrezuela,28108
101,pelayos-de-la-presa,40.3605272,-4.3334254,Pelayos de la Presa,28109
102,perales-de-tajuna,40.2325718,-3.3517265,Perales de Tajuña,28110
103,pezuela-de-las-torres,40.4186483,-3.1778029,Pezuela de las Torres,28111
104,pinilla-del-valle,40.9261949,-3.8184676,Pinilla del Valle,28112
105,pinto,40.240985,-3.7005072,Pinto,28113
106,pinuecar-gandullas,41.03554635,-3.599475586218161,Piñuécar-Gandullas,28114
107,pozuelo-de-alarcon,40.4346528,-3.814834,Pozuelo de Alarcón,28115
108,pozuelo-del-rey,40.3664055,-3.3200082,Pozuelo del Rey,28116
109,pradena-del-rincon,41.0443369,-3.5402284,Prádena del Rincón,28117
110,puebla-de-la-sierra,41.0121247,-3.4444367,Puebla de la Sierra,28118
111,puentes-viejas-manjiron,40.9654041,-3.5828764,Manjirón,28902
112,quijorna,40.4290833,-4.0565378,Quijorna,28119
113,rascafria,40.9038871,-3.8802853,Rascafría,28120
114,reduena,40.8158054,-3.6039309,Redueña,28121
115,ribatejada,40.6664949,-3.3919178,Ribatejada,28122
116,rivas-vaciamadrid,40.3536054,-3.5310879,Rivas-Vaciamadrid,28123
117,robledillo-de-la-jara,40.9529148,-3.5250504,Robledillo de la Jara,28124
118,robledo-de-chavela,40.5009201,-4.2380999,Robledo de Chavela,28125
119,robregordo,41.1064517,-3.5937466,Robregordo,28126
120,rozas-de-madrid-las,40.4933095,-3.8758396,Las Rozas de Madrid,28127
121,rozas-de-puerto-real,40.3098351,-4.4912111,Rozas de Puerto Real,28128
122,san-agustin-del-guadalix,40.679051,-3.6166004,San Agustín del Guadalix,28129
123,san-fernando-de-henares,40.4248548,-3.5350369,San Fernando de Henares,28130
124,san-lorenzo-de-el-escorial,40.5926673,-4.1471642,San Lorenzo de El Escorial,28131
125,san-martin-de-la-vega,40.2110462,-3.5771806,San Martín de la Vega,28132
126,san-martin-de-valdeiglesias,40.3625,-4.3986503,San Martín de Valdeiglesias,28133
127,san-sebastian-de-los-reyes,40.5473698,-3.6260586,San Sebastián de los Reyes,28134
128,santa-maria-de-la-alameda,40.5958248,-4.2579208,Santa María de la Alameda,28135
129,santorcaz,40.4715789,-3.2335594,Santorcaz,28136
130,santos-de-la-humosa-los,40.5012957,-3.2566803,Los Santos de la Humosa,28137
131,serna-del-monte-la,41.0305793,-3.6252636,La Serna del Monte,28138
132,serranillos-del-valle,40.2044509,-3.8851988,Serranillos del Valle,28140
133,sevilla-la-nueva,40.3475422,-4.0275268,Sevilla la Nueva,28141
134,somosierra,41.133207,-3.581478,Somosierra,28143
135,soto-del-real,40.7534432,-3.7866573,Soto del Real,28144
136,talamanca-de-jarama,40.7454625,-3.5127366,Talamanca de Jarama,28145
137,tielmes,40.2465011,-3.3136206,Tielmes,28146
138,titulcia,40.1379148,-3.5709978,Titulcia,28147
139,torrejon-de-ardoz,40.4587767,-3.4793343,Torrejón de Ardoz,28148
140,torrejon-de-la-calzada,40.2006804,-3.7993298,Torrejón de la Calzada,28149
141,torrejon-de-velasco,40.1869283,-3.7769069,Torrejón de Velasco,28150
142,torrelaguna,40.8277273,-3.538293,Torrelaguna,28151
143,torrelodones,40.5762809,-3.928603,Torrelodones,28152
144,torremocha-de-jarama,40.8358114,-3.4966866,Torremocha de Jarama,28153
145,torres-de-la-alameda,40.4021516,-3.360625,Torres de la Alameda,28154
146,tres-cantos,40.6065826,-3.7065333,Tres Cantos,28903
147,valdaracete,40.2107697,-3.1954758,Valdaracete,28155
148,valdeavero,40.6309749,-3.3329368,Valdeavero,28156
149,valdelaguna,40.1605777,-3.367827,Valdelaguna,28157
150,valdemanco,40.8736636,-3.6636949,Valdemanco,28158
151,valdemaqueda,40.5110297,-4.2977731,Valdemaqueda,28159
152,valdemorillo,40.5016772,-4.0688878,Valdemorillo,28160
153,valdemoro,40.1888604,-3.67143,Valdemoro,28161
154,valdeolmos-alalpardo,40.6385429,-3.4532436,Valdeolmos-Alalpardo,28162
155,valdepielagos,40.7610144,-3.4656251,Valdepiélagos,28163
156,valdetorres-de-jarama,40.6956481,-3.5146559,Valdetorres de Jarama,28164
157,valdilecha,40.2926854,-3.3002096,Valdilecha,28165
158,valverde-de-alcala,40.4180359,-3.2996775,Valverde de Alcalá,28166
159,velilla-de-san-antonio,40.367166,-3.4874435,Velilla de San Antonio,28167
